"LSOA11CD","LSOA21CD","LinkCode","Households","LSOA11Denom","LSOA21Denom","Prop11of21","Prop21of11","Category"
"E01000311","E01000311","E01000311_E01000311",520,520,520,1,1,"U"
"E01000312","E01000312","E01000312_E01000312",721,721,721,1,1,"U"
"E01000313","E01000313","E01000313_E01000313",708,708,708,1,1,"U"
"E01000314","E01000314","E01000314_E01000314",759,759,759,1,1,"U"
"E01000315","E01000315","E01000315_E01000315",638,638,638,1,1,"U"
"E01000316","E01000316","E01000316_E01000316",889,889,889,1,1,"U"
"E01000317","E01000317","E01000317_E01000317",636,636,636,1,1,"U"
"E01000318","E01000318","E01000318_E01000318",627,627,627,1,1,"U"
"E01000319","E01000319","E01000319_E01000319",495,495,495,1,1,"U"
"E01000320","E01000320","E01000320_E01000320",802,802,802,1,1,"U"
"E01000321","E01000321","E01000321_E01000321",851,851,851,1,1,"U"
"E01000322","E01000322","E01000322_E01000322",802,802,802,1,1,"U"
"E01000323","E01000323","E01000323_E01000323",1023,1023,1023,1,1,"U"
"E01000324","E01000324","E01000324_E01000324",647,647,647,1,1,"U"
"E01000325","E01000325","E01000325_E01000325",584,584,584,1,1,"U"
"E01000326","E01000326","E01000326_E01000326",541,541,541,1,1,"U"
"E01000327","E01000327","E01000327_E01000327",623,623,623,1,1,"U"
"E01000328","E01000328","E01000328_E01000328",625,625,625,1,1,"U"
"E01000329","E01000329","E01000329_E01000329",662,662,662,1,1,"U"
"E01000330","E01000330","E01000330_E01000330",767,767,767,1,1,"U"
"E01000331","E01000331","E01000331_E01000331",618,618,618,1,1,"U"
"E01000332","E01000332","E01000332_E01000332",613,613,613,1,1,"U"
"E01000333","E01000333","E01000333_E01000333",819,819,819,1,1,"U"
"E01000334","E01000334","E01000334_E01000334",598,598,598,1,1,"U"
"E01000335","E01000335","E01000335_E01000335",1039,1039,1039,1,1,"U"
"E01000336","E01000336","E01000336_E01000336",784,784,784,1,1,"U"
"E01000337","E01000337","E01000337_E01000337",664,664,664,1,1,"U"
"E01000338","E01000338","E01000338_E01000338",711,711,711,1,1,"U"
"E01000339","E01000339","E01000339_E01000339",599,599,599,1,1,"U"
"E01000340","E01000340","E01000340_E01000340",625,625,625,1,1,"U"
"E01000341","E01000341","E01000341_E01000341",622,622,622,1,1,"U"
"E01000342","E01000342","E01000342_E01000342",632,632,632,1,1,"U"
"E01000343","E01000343","E01000343_E01000343",546,546,546,1,1,"U"
"E01000344","E01000344","E01000344_E01000344",654,654,654,1,1,"U"
"E01000345","E01000345","E01000345_E01000345",498,498,498,1,1,"U"
"E01000346","E01000346","E01000346_E01000346",614,614,614,1,1,"U"
"E01000347","E01000347","E01000347_E01000347",631,631,631,1,1,"U"
"E01000348","E01000348","E01000348_E01000348",519,519,519,1,1,"U"
"E01000349","E01000349","E01000349_E01000349",654,654,654,1,1,"U"
"E01000350","E01000350","E01000350_E01000350",527,527,527,1,1,"U"
"E01000351","E01000351","E01000351_E01000351",631,631,631,1,1,"U"
"E01000352","E01000352","E01000352_E01000352",653,653,653,1,1,"U"
"E01000353","E01000353","E01000353_E01000353",663,663,663,1,1,"U"
"E01000354","E01000354","E01000354_E01000354",606,606,606,1,1,"U"
"E01000355","E01000355","E01000355_E01000355",554,554,554,1,1,"U"
"E01000356","E01000356","E01000356_E01000356",630,630,630,1,1,"U"
"E01000357","E01000357","E01000357_E01000357",486,486,486,1,1,"U"
"E01000358","E01000358","E01000358_E01000358",661,661,661,1,1,"U"
"E01000359","E01000359","E01000359_E01000359",499,499,499,1,1,"U"
"E01000360","E01000360","E01000360_E01000360",778,778,778,1,1,"U"
"E01000361","E01000361","E01000361_E01000361",613,613,613,1,1,"U"
"E01000362","E01000362","E01000362_E01000362",779,779,779,1,1,"U"
"E01000363","E01000363","E01000363_E01000363",567,567,567,1,1,"U"
"E01000364","E01000364","E01000364_E01000364",646,646,646,1,1,"U"
"E01000365","E01000365","E01000365_E01000365",708,708,708,1,1,"U"
"E01000366","E01000366","E01000366_E01000366",673,673,673,1,1,"U"
"E01000367","E01000367","E01000367_E01000367",806,806,806,1,1,"U"
"E01000368","E01000368","E01000368_E01000368",633,633,633,1,1,"U"
