"LSOA11CD","LSOA21CD","LinkCode","TotPersons","LSOA11Denom","LSOA21Denom","Prop11of21","Prop21of11","Category"
"E01000253","E01000253","E01000253_E01000253",2057,2057,2057,1,1,"U"
"E01000254","E01000254","E01000254_E01000254",1612,1612,1612,1,1,"U"
"E01000255","E01000255","E01000255_E01000255",1692,1692,1692,1,1,"U"
"E01000256","E01000256","E01000256_E01000256",1925,1925,1925,1,1,"U"
"E01000257","E01000257","E01000257_E01000257",2091,2091,2091,1,1,"U"
"E01000258","E01000258","E01000258_E01000258",1890,1890,1890,1,1,"U"
"E01000259","E01000259","E01000259_E01000259",2658,2658,2658,1,1,"U"
"E01000260","E01000260","E01000260_E01000260",2167,2167,2167,1,1,"U"
"E01000261","E01000261","E01000261_E01000261",1778,1778,1778,1,1,"U"
"E01000262","E01033911","E01000262_E01033911",1961,3552,1961,1,0.552083333333333,"S"
"E01000262","E01033912","E01000262_E01033912",1591,3552,1591,1,0.447916666666667,"S"
"E01000263","E01000263","E01000263_E01000263",1513,1513,1513,1,1,"U"
"E01000264","E01000264","E01000264_E01000264",1823,1823,1823,1,1,"U"
"E01000265","E01000265","E01000265_E01000265",1918,1918,1918,1,1,"U"
"E01000266","E01000266","E01000266_E01000266",1448,1448,1448,1,1,"U"
"E01000267","E01000267","E01000267_E01000267",1530,1530,1530,1,1,"U"
"E01000268","E01000268","E01000268_E01000268",2073,2073,2073,1,1,"U"
"E01000269","E01000269","E01000269_E01000269",1402,1402,1402,1,1,"U"
"E01000270","E01000270","E01000270_E01000270",1541,1541,1541,1,1,"U"
"E01000271","E01000271","E01000271_E01000271",1531,1531,1531,1,1,"U"
"E01000272","E01000272","E01000272_E01000272",1539,1539,1539,1,1,"U"
"E01000273","E01000273","E01000273_E01000273",1692,1692,1692,1,1,"U"
"E01000274","E01000274","E01000274_E01000274",1901,1901,1901,1,1,"U"
"E01000275","E01000275","E01000275_E01000275",1748,1748,1748,1,1,"U"
"E01000276","E01000276","E01000276_E01000276",1531,1531,1531,1,1,"U"
"E01000277","E01000277","E01000277_E01000277",1647,1647,1647,1,1,"U"
"E01000278","E01000278","E01000278_E01000278",1487,1487,1487,1,1,"U"
"E01000279","E01000279","E01000279_E01000279",1369,1369,1369,1,1,"U"
"E01000280","E01000280","E01000280_E01000280",1333,1333,1333,1,1,"U"
"E01000281","E01000281","E01000281_E01000281",1820,1820,1820,1,1,"U"
"E01000282","E01000282","E01000282_E01000282",1828,1828,1828,1,1,"U"
"E01000283","E01000283","E01000283_E01000283",1375,1375,1375,1,1,"U"
"E01000284","E01000284","E01000284_E01000284",1734,1734,1734,1,1,"U"
"E01000285","E01000285","E01000285_E01000285",1584,1584,1584,1,1,"U"
"E01000286","E01000286","E01000286_E01000286",1713,1713,1713,1,1,"U"
"E01000287","E01000287","E01000287_E01000287",1634,1634,1634,1,1,"U"
"E01000288","E01000288","E01000288_E01000288",1577,1577,1577,1,1,"U"
